[nithin@nithin-pc Fourth Sem]$ java Prog4
Enter number of testcases : 100 
Length                  Time(milliseconds)
5000                    2.0
25000                   3.0
45000                   5.0
65000                   5.0
85000                   8.0
105000                  9.0
125000                  11.0
145000                  13.0
165000                  15.0
185000                  17.0
205000                  18.0
225000                  20.0
245000                  22.0
265000                  24.0
285000                  27.0
305000                  29.0
325000                  30.0
345000                  33.0
365000                  35.0
385000                  37.0
405000                  39.0
425000                  41.0
445000                  42.0
465000                  45.0
485000                  47.0
505000                  50.0
525000                  50.0
545000                  54.0
565000                  56.0
585000                  59.0
605000                  59.0
625000                  62.0
645000                  65.0
665000                  66.0
685000                  66.0
705000                  71.0
725000                  72.0
745000                  74.0
765000                  76.0
785000                  79.0
805000                  82.0
825000                  81.0
845000                  84.0
865000                  87.0
885000                  89.0
905000                  90.0
925000                  93.0
945000                  94.0
965000                  96.0
985000                  101.0
1005000                 102.0
1025000                 105.0
1045000                 104.0
1065000                 108.0
1085000                 110.0
1105000                 112.0
1125000                 116.0
1145000                 116.0
1165000                 119.0
1185000                 125.0
1205000                 123.0
1225000                 124.0
1245000                 127.0
1265000                 133.0
1285000                 135.0
1305000                 138.0
1325000                 137.0
1345000                 139.0
1365000                 140.0
1385000                 143.0
1405000                 146.0
1425000                 151.0
1445000                 149.0
1465000                 152.0
1485000                 156.0
1505000                 160.0
1525000                 157.0
1545000                 159.0
1565000                 165.0
1585000                 163.0
1605000                 164.0
1625000                 174.0
1645000                 170.0
1665000                 184.0
1685000                 184.0
1705000                 178.0
1725000                 180.0
1745000                 183.0
1765000                 185.0
1785000                 187.0
1805000                 196.0
1825000                 207.0
1845000                 192.0
1865000                 193.0
1885000                 198.0
1905000                 205.0
1925000                 204.0
1945000                 202.0
1965000                 208.0
1985000                 210.0
[nithin@nithin-pc Fourth Sem]$ 
